date,bb.litter_kg.ha_mean_litter,dw.litter_kg.ha_mean_litter,gnd.litter_kg.ha_mean_litter
2018-01-02,11.22159090935,10.891012396499999,
2019-01-02,,213.303202466,
2020-01-14,,196.71868204263157,
2019-01-15,,168.33677686415,
2018-01-16,12.469008264200001,17.53615702505,
2020-01-28,,161.78229665789473,
2019-01-29,,187.0996900806,
2018-01-30,31.06921487605,44.84762397125,10.07661845675
2020-02-11,,191.33318833736843,
2018-02-13,42.02221074135,37.5361570255,
2019-02-13,,167.40960743649998,
2020-02-25,,198.45856894,
2019-02-26,,159.165805786,
2018-02-27,24.29235537135,30.71022727345,
2020-03-10,,161.5211776915,
2018-03-13,33.71126033,37.326258452727274,30.84825527911111
2019-03-14,,209.305268586,
2020-03-20,,190.4984504236,
2018-03-27,42.246900828950004,49.7365702456,
2019-03-28,,242.38636362350002,
2020-04-06,,172.8822314005,
2019-04-09,,305.72055783999997,
2018-04-10,32.86931818395,,29.665071773052635
2020-04-20,,207.6007231415,
2018-04-24,48.7939049592,67.60568976076924,12.58854781557143
2019-04-24,,268.920454541,
2017-05-02,191.392045449,,148.073347108
2020-05-05,,250.0723140485,
2019-05-07,,190.769628109,
2018-05-08,76.78719008175,74.4576446293,
2017-05-16,344.13481405,,235.9659091035
2020-05-16,,323.92045455150003,
2019-05-21,,397.7376032845,
2018-05-22,51.838842976100004,,47.4922520697
2017-05-30,398.437499995,,247.3063016665
2020-06-01,,196.39979339,
2019-06-03,,143.9772727235,
2018-06-05,68.6699380241,89.74690082345,
2017-06-13,274.41115702765,,384.7598140625
2020-06-16,,342.928719014,
2018-06-19,100.61983471705,118.8300619865,
2019-06-19,,178.5227272756,
2017-06-27,185.8729338795,,133.308367776
2020-06-30,,314.97933884500003,
2019-07-02,,212.03770662,
2018-07-03,118.801652886,118.499483465,
2017-07-12,262.45867768,,203.48657024812502
2020-07-14,,366.56250000849997,
2019-07-17,,284.8502066135,
2018-07-18,,119.61002066345,
2017-07-25,321.78202478,,231.3455578505
2020-07-28,,173.94886364,
2018-07-31,,60.433884297300004,
2019-07-31,,135.655991746,
2017-08-08,634.89669422,,513.254132198
2020-08-11,,519.48393914615,
2019-08-13,,103.409090906,
2018-08-14,,103.9307851309,
2017-08-22,335.180785135,,258.8378099135
2019-08-27,,130.043904962,
2018-08-28,,86.1544421525,
2020-08-31,,459.764979315,
2020-09-08,,187.8512396868,
2019-09-10,,163.522727275,
2018-09-11,,112.19266528245,
2020-09-22,,134.5971074385,
2018-09-25,,112.246900822,
2019-09-26,,214.7778925665,
2020-10-06,,219.44595475842107,
2019-10-08,,118.078512399,
2018-10-10,,137.29080577935,
2020-10-20,,152.8463462368421,
2018-10-23,,132.7298553705,
2019-10-23,,210.79001740263158,
2020-11-04,,216.6399793475,
2019-11-05,,177.04980426663158,
2018-11-07,,140.8961776865,
2020-11-17,,150.3254132225,
2019-11-19,,164.17735971810527,
2018-11-20,,138.35485537099999,
2019-12-03,,174.83172031421051,
2018-12-04,,115.986570249,
2017-12-05,11.3403925625,11.5185950413,
2019-12-17,,219.32361896105263,
2018-12-18,,212.138429756,
2017-12-19,8.30061983475,12.5361570253,
2019-12-31,,105.15441496631578,
