Scan Name,Root Length (cm),Root Diameter (mm),Root Volume (cm^3),Tin #,Tin wt (g),Tin + Dry root wt (g) (2019_08_20),total weight (g),RSL.cm.g,RML.g.cm
2019_08_15_core1_1,11.957,0.803,0.061,1,0.948,0.972,0.024,12.30144033,0.002007192
2019_08_15_core1_2,9.634,0.594,0.027,2,0.949,0.959,0.01,10.04588113,0.00103799
2019_08_15_core1_3,23.473,0.343,0.022,3,0.948,0.961,0.013,24.42559834,0.000553828
2019_08_15_core1_4,19.955,0.297,0.014,4,0.946,0.949,0.003,21.02739726,0.000150338
2019_08_15_core1_5,16.008,0.34,0.015,5,0.946,0.95,0.004,16.85052632,0.000249875
2019_08_15_core1_6,5.584,0.824,0.03,6,0.945,0.958,0.013,5.828810021,0.00232808
2019_08_15_core2_7,18.832,0.413,0.025,7,0.944,0.947,0.003,19.88595565,0.000159303
2019_08_15_core2_8,4.801,0.545,0.011,8,0.944,0.946,0.002,5.075052854,0.00041658
2019_08_15_core2_9,18.9,0.385,0.022,9,0.943,0.946,0.003,19.97885835,0.00015873
2019_08_15_core2_10,21.302,0.422,0.03,10,0.943,0.944,0.001,22.56567797,4.69E-05
2019_08_15_core2_11,19.777,0.392,0.024,11,1.155,1.157,0.002,17.09334486,0.000101128
2019_08_15_core2_12,4.261,1.012,0.034,12,0.942,0.945,0.003,4.508994709,0.00070406
2019_08_15_core3_13,19.336,0.327,0.016,13,1.15,1.151,0.001,16.79930495,5.17E-05
2019_08_15_core3_14,18.084,0.421,0.025,14,0.939,0.94,0.001,19.23829787,5.53E-05
2019_08_15_core3_15,22.688,0.427,0.032,15,0.945,0.947,0.002,23.95776135,8.82E-05
2019_08_15_core3_16,7.05,0.319,0.006,16,0.944,0.946,0.002,7.45243129,0.000283688
2019_08_15_core3_17,20.75,0.431,0.03,17,0.943,0.946,0.003,21.93446089,0.000144578
2019_08_15_core3_18,9.25,0.504,0.018,18,0.943,0.947,0.004,9.767687434,0.000432432
2019_08_15_core4_19,8.002,0.259,0.004,19,0.943,0.943,0,8.485683987,0
2019_08_15_core4_20,25.823,0.391,0.031,20,0.94,0.941,0.001,27.44208289,3.87E-05
2019_08_15_core4_21,25.137,0.288,0.016,21,0.941,0.944,0.003,26.62817797,0.000119346
2019_08_15_core4_22,31.568,0.367,0.033,22,0.942,0.951,0.009,33.19453207,0.000285099
2019_08_15_core4_23,23.488,0.371,0.025,23,0.941,0.944,0.003,24.88135593,0.000127725
2019_08_15_core4_24,38.749,0.344,0.036,24,0.943,0.947,0.004,40.91763464,0.000103228
2019_08_15_core5_25,22.592,0.397,0.028,25,0.945,0.947,0.002,23.8563886,8.85E-05
2019_08_15_core5_26,22.829,0.355,0.023,26,0.947,0.954,0.007,23.92976939,0.000306628
2019_08_15_core5_27,12.828,0.321,0.01,27,1.167,1.172,0.005,10.94539249,0.000389772
2019_08_15_core5_28,22.252,0.397,0.028,28,0.944,0.948,0.004,23.47257384,0.000179759
2019_08_15_core5_29,24.323,0.368,0.026,29,0.943,0.95,0.007,25.60315789,0.000287793
2019_08_15_core5_30,20.667,0.396,0.026,30,1.017,1.021,0.004,20.24191969,0.000193545
,19.678,2.958,1.352,test dani,,,0.687,28.643377,0.034912085
,12.836,3.168,1.012,test dani ,,,0.299,42.92976589,0.023293861
,11.23,6.258,3.454,test dani,,,0.713,15.75035063,0.06349065
,9.135,6.534,3.063,test dani ,,,0.427,21.39344262,0.046743295
,7.403,4.259,1.054,test dani,,,0.464,15.95474138,0.062677293
,12.16,4.01,1.536,test dani ,,,0.275,44.21818182,0.022615132
,12.923,2.638,0.706,test dani,,,0.255,50.67843137,0.01973226
,13.674,2.01,0.434,test dani ,,,0.065,210.3692308,0.004753547
