treatment,depthbin.cm.,Depth.for.beta,hurricane,diam2,prod2.g.m2.day.x,mort.g.m2.day.x,stock.g.m2.x,stock.newRMLg.m2.x,Cummulative,Percent
Control,0-10,10,before,all,5.018811371,4.46940773,591.6427256,393.3471619,393.3471619,59.82603437
Control,43758,20,before,all,0.076560199,0.255996432,322.0374703,106.9101717,500.2573336,76.08650915
Control,20-30,30,before,all,0.006150749,0.001922786,9.841148309,9.020323404,509.277657,77.45845289
Control,30-40,40,before,all,0.191213284,0,28.01650529,18.75308901,528.030746,80.31069909
Control,40-50,50,before,all,0,0,0.856874712,0.918361881,528.9491079,80.4503771
Control,50-60,60,before,all,0,0,0,0,528.9491079,80.4503771
Control,60-70,70,before,all,0,0,0,0,528.9491079,80.4503771
Control,70-80,80,before,all,-0.001679342,0.065281792,273.1612964,114.7173096,643.6664175,97.89827649
Control,80-90,90,before,all,0.000411425,0.016065394,0.449831025,0.551463878,644.2178813,97.98215125
Control,90-100,100,before,all,0.061975204,0,17.85238115,13.26705151,657.4849329,100
Warming,0-10,10,before,all,4.85642092,4.000255965,882.0968715,466.0498938,466.0498938,83.32984727
Warming,43758,20,before,all,0.442201258,0.039266769,81.20038726,60.25752076,526.3074145,94.10390831
Warming,20-30,30,before,all,0.035683041,0.037736069,2.283534198,2.147756907,528.4551714,94.48792782
Warming,30-40,40,before,all,7.75349E-05,0,0.118387575,0.190706947,528.6458784,94.52202628
Warming,40-50,50,before,all,0.002001965,0,1.762336527,2.020733857,530.6666122,94.88333404
Warming,50-60,60,before,all,0.212830231,0,40.01134477,19.03798413,549.7045964,98.28733076
Warming,60-70,70,before,all,-0.00431055,0.131694084,14.99742499,9.13971229,558.8443087,99.92151379
Warming,70-80,80,before,all,0.007969203,0,0.103599639,0.133794264,558.9781029,99.94543624
Warming,80-90,90,before,all,0.025852983,0,0.361941762,0.305165959,559.2832689,100
Warming,90-100,100,before,all,0,0,0,0,559.2832689,100
Control,0-10,10,after,all,15.29725521,4.978817933,1605.221579,759.9738171,759.9738171,48.68608402
Control,43758,20,after,all,4.379778414,1.117445903,794.5111367,405.8304301,1165.804247,74.68473551
Control,20-30,30,after,all,0.881704329,0.058782531,138.6710337,55.43724735,1221.241495,78.23620323
Control,30-40,40,after,all,0.877799296,0.000531146,175.1883539,69.21047446,1290.451969,82.67002305
Control,40-50,50,after,all,0.745989573,0.006666719,127.9122745,50.04860584,1340.500575,85.87627908
Control,50-60,60,after,all,0.825240629,0.011842017,119.0724492,48.87830512,1389.37888,89.00756231
Control,60-70,70,after,all,0.003500533,0,0.314824473,0.100294298,1389.479174,89.01398744
Control,70-80,80,after,all,0.058485621,0.005252684,313.8658608,165.4147998,1554.893974,99.61092994
Control,80-90,90,after,all,0,0,0,0,1554.893974,99.61092994
Control,90-100,100,after,all,0.01789018,0.010655553,13.62967579,6.073256114,1560.96723,100
Warming,0-10,10,after,all,8.018945528,3.016808706,1529.479318,766.2004672,766.2004672,70.75442263
Warming,43758,20,after,all,2.307492675,0.396424032,404.6807192,184.844451,951.0449182,87.82379672
Warming,20-30,30,after,all,0.698335322,0.185986374,74.41962005,31.82666457,982.8715828,90.76281513
Warming,30-40,40,after,all,0.439517053,0.016504944,29.07900654,13.07723069,995.9488135,91.97042586
Warming,40-50,50,after,all,0.024304031,0,2.626051862,1.021684637,996.9704981,92.06477285
Warming,50-60,60,after,all,1.076382224,0.040599779,110.0532684,53.4974379,1050.467936,97.00496865
Warming,60-70,70,after,all,0.914673687,0,71.05343989,32.4332294,1082.901165,100
Warming,70-80,80,after,all,0,0,0,0,1082.901165,100
Warming,80-90,90,after,all,0,0,0,0,1082.901165,100
Warming,90-100,100,after,all,0,0,0,0,1082.901165,100
